Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,0.9099999999999999,0.31,-1.845455473848984
75% Corpus,5,0.9099999999999999,0.61,-3.241959275978401
75% Corpus,5,0.9099999999999999,0.9099999999999999,-6.299390240392519
75% Corpus,5,0.9099999999999999,symmetric,-1.4747757720630748
75% Corpus,5,symmetric,0.01,-1.5633732721464626
75% Corpus,5,symmetric,0.31,-2.0623936523417092
75% Corpus,5,symmetric,0.61,-4.879495248342758
75% Corpus,5,symmetric,0.9099999999999999,-6.963098823522124
75% Corpus,5,symmetric,symmetric,-1.9697882689560178
75% Corpus,5,asymmetric,0.01,-1.535646905512837
75% Corpus,5,asymmetric,0.31,-2.6677653233274694
75% Corpus,5,asymmetric,0.61,-5.454132228295637
75% Corpus,5,asymmetric,0.9099999999999999,-6.747182723861149
75% Corpus,5,asymmetric,symmetric,-1.9887791385596736
75% Corpus,6,0.01,0.01,-1.863089195219688
75% Corpus,6,0.01,0.31,-4.839909882585304
75% Corpus,6,0.01,0.61,-6.164092553880796
75% Corpus,6,0.01,0.9099999999999999,-7.778335737020662
75% Corpus,6,0.01,symmetric,-3.844682434791485
75% Corpus,6,0.31,0.01,-1.829387604551546
75% Corpus,6,0.31,0.31,-4.991988478765586
75% Corpus,6,0.31,0.61,-4.921292579720272
75% Corpus,6,0.31,0.9099999999999999,-6.513691366496822
75% Corpus,6,0.31,symmetric,-3.4795490500671007
75% Corpus,6,0.61,0.01,-1.4461555749140425
75% Corpus,6,0.61,0.31,-4.396685696734962
75% Corpus,6,0.61,0.61,-6.224346413002201
75% Corpus,6,0.61,0.9099999999999999,-7.410953738886256
75% Corpus,6,0.61,symmetric,-3.236831937903998
75% Corpus,6,0.9099999999999999,0.01,-1.3789104719179874
75% Corpus,6,0.9099999999999999,0.31,-4.2529423289573325
75% Corpus,6,0.9099999999999999,0.61,-4.702258075437495
75% Corpus,6,0.9099999999999999,0.9099999999999999,-7.399049548029187
75% Corpus,6,0.9099999999999999,symmetric,-1.4573812364071739
75% Corpus,6,symmetric,0.01,-1.664419732864417
75% Corpus,6,symmetric,0.31,-4.984414458964704
75% Corpus,6,symmetric,0.61,-5.884171131621382
75% Corpus,6,symmetric,0.9099999999999999,-6.537236366357842
75% Corpus,6,symmetric,symmetric,-4.022436979720543
75% Corpus,6,asymmetric,0.01,-1.98501729622548
75% Corpus,6,asymmetric,0.31,-4.611036760363608
75% Corpus,6,asymmetric,0.61,-5.623864560360107
75% Corpus,6,asymmetric,0.9099999999999999,-8.004466391969006
75% Corpus,6,asymmetric,symmetric,-4.8587351337732345
75% Corpus,7,0.01,0.01,-1.5678636555411996
75% Corpus,7,0.01,0.31,-6.216990072800294
75% Corpus,7,0.01,0.61,-4.0784118294244704
75% Corpus,7,0.01,0.9099999999999999,-6.4029074992569495
75% Corpus,7,0.01,symmetric,-4.30777656403521
75% Corpus,7,0.31,0.01,-1.5565175025796965
75% Corpus,7,0.31,0.31,-6.636427930521281
75% Corpus,7,0.31,0.61,-4.6167063636492065
75% Corpus,7,0.31,0.9099999999999999,-9.208122549817345
75% Corpus,7,0.31,symmetric,-2.9362607298496597
75% Corpus,7,0.61,0.01,-1.5061322899607101
75% Corpus,7,0.61,0.31,-6.083028752353338
75% Corpus,7,0.61,0.61,-5.411255894409604
75% Corpus,7,0.61,0.9099999999999999,-8.403513694910364
75% Corpus,7,0.61,symmetric,-2.118539920602116
75% Corpus,7,0.9099999999999999,0.01,-1.3640903223963046
75% Corpus,7,0.9099999999999999,0.31,-4.199472746158389
75% Corpus,7,0.9099999999999999,0.61,-6.329321660158944
75% Corpus,7,0.9099999999999999,0.9099999999999999,-6.827707679396856
75% Corpus,7,0.9099999999999999,symmetric,-1.4348357354247718
75% Corpus,7,symmetric,0.01,-1.666163984281172
